Sr No,date,startup,vertical,city,investors,round,amount
948,2017-07-03,Blowhorn,Consumer Internet,Bangalore,"IDG Ventures India, Michael & Susan Dell Foundation, Draper Associates, Unitus Seed Fund",Private Equity,3650000
949,2017-08-03,Rivigo,Logistics,Gurgaon,Private Sector Banks (Debt Funding),Private Equity,15000000
950,2017-08-03,PipeCandy,Technology,Chennai,"IDG ventures, Axilor Ventures, Emergent Ventures, Indian Angel Network",Seed Funding,1100000
951,2017-08-03,Supr Daily,Consumer Internet,Mumbai,Y Combinator,Seed Funding,120000
952,2017-08-03,Parentune,Consumer Internet,Gurgaon,"Kae Capital, SEGNEL Ventures",Private Equity,0
953,2017-09-03,AppBrowzer,Consumer Internet,Bangalore,Deepak Gurnani,Seed Funding,500000
954,2017-09-03,MagicBricks,Consumer Internet,Mumbai,Times Internet Ltd,Private Equity,4500000
955,2017-10-03,PeeBuddy,Healthcare,New Delhi,Indian Angel Network,Seed Funding,443000
956,2017-10-03,iOrderFresh,ECommerce,New Delhi,Singapore Angel Network,Seed Funding,0
957,2017-10-03,Lavelle Networks,Technology,Bangalore,Ideaspring Capital,Seed Funding,600000
958,2017-10-03,PropertyShare,Consumer Internet,Bangalore,"Asuka, Pravega Ventures, BEENEXT",Seed Funding,0
959,2017-03-14,MyDermacy,Consumer Internet,New Delhi,Cyber Carrier,Private Equity,0
960,2017-03-15,LatestOne,eCommerce,Hyderabad,"Florintree, Mathew Cyriac, Chidambaram Palaniappan, Bharat Sheth",Private Equity,3350000
961,2017-03-15,Frapperz,Consumer Internet,Kolkata,Undisclosed Investor,Seed Funding,100000
